SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
ADA01002,UAE,Middle East,Abu Dhabi Aviation,Abu Dhabi,Bell Helicopter,Huey,Bell 412EP,VTOL,PWC,PT6T-3D,R2,CAE,2015,CAE,Tropos 6000XR,,220x60,CAE,6EV,CAE,FFS D,EASA,Europe,,www.abudhabiaviation.com,Bassam Abu-Hijleh <bassam.abuhijleh@ada-tc.com>,+971 2 575 8000,,
ADA01003,UAE,Middle East,Abu Dhabi Aviation,Abu Dhabi,Embraer,Emb145,ERJ-145,Regional Jet,RR,AE3007-A1,2J,CAE,2018,CAE,Tropos 6000XR,3chCC,180x40,CAE,6E,CAE,FFS D,GCAA,UAE,,www.abudhabiaviation.com,Bassam Abu-Hijleh <bassam.abuhijleh@ada-tc.com>,+971 2 575 8000,,
ADA01001,UAE,Middle East,Abu Dhabi Aviation,Abu Dhabi,Leonardo Helicopters,AW139,AW139,VTOL,PWC,PT6C-67,R2,CAE,2015,CAE,Tropos 6000XR,5chCC,225x60,CAE,6EV,CAE,FFS D,EASA,Europe,,www.abudhabiaviation.com,Bassam Abu-Hijleh <bassam.abuhijleh@ada-tc.com>,+971 2 575 8000,,
EKK01011,UAE,Middle East,Emirates,Dubai,Airbus,A380,A380-800,Jumbo Transport,RR,Trent972-84,4J,CAE,2015,CAE,Tropos 6000XR,3chCC,180x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.emirates.com, <simulatorschedulers@emirates.com>,97147037567,,
ETI01001,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Airbus,A320,A320-200,Narrow-body Transport,IAE/GE,V2527-A5/CFM56-5B4,2J,CAE,2014,CAE,Tropos,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
ETI01005,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Airbus,A320,A320-200,Narrow-body Transport,IAE/GE,V2527-A5/CFM56-5B4,2J,CAE,2014,CAE,Tropos,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
ETI01006,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Airbus,A320,A320-200,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2014,CAE,Tropos,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
ETI01002,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Airbus,A330/340,A340-600/A330-200,Wide-body Transport,RR/GE,Trent556/Trent772/CF6-80E1A3,2J/4J,CAE,2014,CAE,Tropos,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
ETI01003,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Airbus,A330/340,A340-600/A330-200,Wide-body Transport,RR/GE,Trent556/Trent772/CF6-80E1A3,2J/4J,CAE,2014,CAE,Tropos,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
ETI01008,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Airbus,A380,A380-800,Jumbo Transport,EA,GP7270,4J,CAE,2014,CAE,Tropos,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
ETI01004,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Boeing,B777,B777-300ER,Wide-body Transport,GE,GE90-115BL2,2J,CAE,2009,CAE,Tropos,4chCC,210x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
ETI01007,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Boeing,B777,B777-300ER,Wide-body Transport,GE,GE90-115BL1,2J,CAE,2014,CAE,Tropos,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
ETI01009,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Boeing,B787,B787-9,Wide-body Transport,GE,GEnx,2J,CAE,2014,CAE,Tropos,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
ETI01010,UAE,Middle East,Etihad Aviation Training,Abu Dhabi,Boeing,B787,B787-9,Wide-body Transport,GE,GEnx,2J,CAE,2017,CAE,Tropos,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.etihad.com, <media@etihad.ae>,+971 50 616 5106,,
