SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
ACA01002,Canada,North America,Air Canada Flight Training,"Toronto, ON",Airbus,A320,A320-200,Narrow-body Transport,GE,CFM56-5A1,2J,CAE,1990,CAE,MaxVue+,3chCC,150x40,CAE,6H,CAE,FFS D,TC,Canada,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACA01003,Canada,North America,Air Canada Flight Training,"Toronto, ON",Airbus,A320,A320-214,Narrow-body Transport,GE,CFM56-5B4,2J,CAE,2002,CAE,MaxVue+,3chCC,180x40,CAE,6H,CAE,FFS D,"TC
FAA",Canada/USA,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACA01001,Canada,North America,Air Canada Flight Training,"Toronto, ON",Airbus,A330/340,A330-300/A340-300,Wide-body Transport,RR/GE,Trent772B/CFM56-5C,2J/4J,L3 CTS,2002,CAE,MaxVue+,3chCC,180x40,CAE,6H,L3 CTS,FFS D,TC,Canada,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACA01005,Canada,North America,Air Canada Flight Training,"Toronto, ON",Boeing,B737Max,B737 MAX8,Narrow-body Transport,GE,Leap-1B,2J,CAE,2017,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS C,TC,Canada,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACA01007,Canada,North America,Air Canada Flight Training,"Toronto, ON",Boeing,B737Max,B737 MAX8,Narrow-body Transport,GE,Leap-1B,2J,CAE,2018,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,TC,Canada,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACA01006,Canada,North America,Air Canada Flight Training,"Toronto, ON",Boeing,B757/767,B767-300ER,Wide-body Transport,GE,CF6-80C2-B6F,2J,CAE,2002,CAE,MaxVue+,3chCC,180x40,CAE,6H,CAE,FFS D,"TC
FAA",Canada/USA,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACA01008,Canada,North America,Air Canada Flight Training,"Toronto, ON",Boeing,B777,B777-300ER,Wide-body Transport,GE,GE90-115B,2J,CAE,2007,CAE,Tropos 6200,3chCC,200x40,CAE,6H,CAE,FFS D,"TC
EASA
FAA",USA/Canada/Europe,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACA01004,Canada,North America,Air Canada Flight Training,"Toronto, ON",Boeing,B787,B787-8,Wide-body Transport,GE,GEnx-1B67,2J,CAE,2013,CAE,TroposXR,3chCC,210x40,CAE,6E,CAE,FFS D,"TC
FAA",Canada/USA,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACA01012,Canada,North America,Air Canada Flight Training,"Toronto, ON",Boeing,B787,B787-8,Wide-body Transport,GE,GEnx-1B67,2J,CAE,2013,CAE,TroposXR,3chCC,210x40,CAE,6E,CAE,FFS D,"TC
FAA",USA/Canada,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACA01010,Canada,North America,Air Canada Flight Training,"Toronto, ON",Embraer,E170/190,E-175/E-190,Regional Jet,GE,CF34-8E5A1/CF34-10E5A1,2J,CAE,2006,CAE,MaxVue+,3chCC,180x40,CAE,6H,CAE,FFS D,"TC
FAA",USA/Canada,,www.aircanadaflighttraining.com,Joseph Saliba <joseph.saliba@aircanada.ca>,+1 905 6762910,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
