SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
ACH01001,China,Asia,Air China,Beijing,Boeing,B737NG,B737-800,Narrow-body Transport,GE,CFM56,2J,CAE,1995,CAE,MaxVue 2000,3chCC,150x40,CAE,6H,CAE,FFS D,FAA,USA,,www.airchina.com.cn, <master@mail.airchina.com.cn>,+86 10 64599068,John Slish <john.slish@flightsafety.com>,+1 514 631 2084
ACH01002,China,Asia,Air China,Beijing,Boeing,B747,B747-400,Jumbo Transport,PW,PW4056,4J,CAE,1995,CAE,ESIG-3350GT,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.airchina.com.cn, <master@mail.airchina.com.cn>,+86 10 64599068, <trainingsupport@l3t.com>,+44 1293 491 501
ACH01004,China,Asia,Air China,Beijing,Boeing,B747,B747-8,Jumbo Transport,PW,GEnx-2B67,4J,CAE,2015,CAE,Tropos 6200,3chCC,200x40,CAE,6E,CAE,FFS D,FAA,USA,,www.airchina.com.cn, <master@mail.airchina.com.cn>,+86 10 64599068,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACH01003,China,Asia,Air China,Beijing,Boeing,B777,B777-200,Wide-body Transport,RR,Trent877,2J,CAE,1998,CAE,ESIG-3350GT,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.airchina.com.cn, <master@mail.airchina.com.cn>,+86 10 64599068,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ACH01006,China,Asia,Air China,Beijing,Boeing,B787,B787-9,Wide-body Transport,RR,Trent1000,2J,CAE,2016,CAE,Tropos 6000XR,3chCC,210x40,CAE,6E,CAE,FFS D,CAAC,China,,www.airchina.com.cn, <master@mail.airchina.com.cn>,+86 10 64599068,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CPA01011,China,Asia,Cathay Pacific Aviation Training,Hong Kong,Boeing,B777,B777-200/B777-300,Wide-body Transport,RR,Trent892,2J,CAE,1995,CAE,Tropos IIe,3chCC,200x40,CAE,6H,CAE,FFS D,HKCAD,Hong Kong,,www.cathaypacific.com,Neil Cothran <neil_cothran@cathaypacific.com>,+852 2747 8400,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CPA01013,China,Asia,Cathay Pacific Aviation Training,Hong Kong,Boeing,B777,B777-300ER,Wide-body Transport,GE,GE90-115B,2J,CAE,2007,CAE,Tropos IIe,3chCC,200x40,CAE,6E,CAE,FFS D,HKCAD,Hong Kong,,www.cathaypacific.com,Neil Cothran <neil_cothran@cathaypacific.com>,+852 2747 8400,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CQA01003,China,Asia,ChongQing Yu Xiang Aviation,ChongQing,Boeing,B737NG,B737-800,Narrow-body Transport,GE,CFM56-7B27,2J,CAE,2017,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,CAAC,China,,, ,,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAF01006,China,Asia,Civil Aviation Flight University of China (CAFUC),Guanghan,Xian,MA600,MA600,Regional Prop,PWC,PW127,2P,CAE,1995,CAE,MaxVue,3chCC,180x40,CAE,6H,CAE,FFS C,CAAC,China,,www.cafuc.edu.cn, <wsb@cafuc.edu.cn>,+86 838 518 2117,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAF01007,China,Asia,Civil Aviation Flight University of China (CAFUC),Guanghan,Xian,MA600,MA600,Regional Prop,PWC,PW127,2P,CAE,1996,CAE,MaxVue,3chCC,180x40,CAE,6H,CAE,FFS C,CAAC,China,,www.cafuc.edu.cn, <wsb@cafuc.edu.cn>,+86 838 518 2117,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAF01008,China,Asia,Civil Aviation Flight University of China (CAFUC),Guanghan,Xian,MA600,MA600,Regional Prop,PWC,PW127,2P,CAE,1996,CAE,MaxVue,3chCC,180x40,CAE,6H,CAE,FFS C,CAAC,China,,www.cafuc.edu.cn, <wsb@cafuc.edu.cn>,+86 838 518 2117,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
COM01001,China,Asia,Commercial Aircraft Corporation of China,Shanghai,Comac,ARJ21,ARJ21,Regional Jet,GE,CF34-10A,2J,CAE,2010,CAE,Tropos 6000,3chCC,180x40,CAE,6E,CAE,FFS D,CAAC,China,,www.comac.cc, <wanghai2@comac.cc>,+86 21 61210000 x6236,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
COM01002,China,Asia,Commercial Aircraft Corporation of China,Shanghai,Comac,ARJ21,ARJ21,Regional Jet,GE,CF34-10A,2J,CAE,2010,CAE,Tropos 6000,3chCC,180x40,CAE,6E,CAE,FFS D,CAAC,China,,www.comac.cc, <wanghai2@comac.cc>,+86 21 61210000 x6236,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
DON01001,China,Asia,Donghai Airlines,Shenzhen,Boeing,B737NG,B737-800,Narrow-body Transport,GE,CFM56-7B27,2J,CAE,2018,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,CAAC,China,,www.donghaiair.com, <info@donghaiair.com>,,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
