SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
AFR01005,France,Europe,Air France,Paris-CDG,Airbus,A320,A320-200,Narrow-body Transport,GE,CFM56-5B4,2J,CAE,2003,CAE,Tropos 6220,3chCC,180x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.airfrance-flightacad.com,Martine Peyrot <mapeyrot@airfrance.fr>,+33 14 1751078,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
AFR01006,France,Europe,Air France,Paris-CDG,Airbus,A320,A320-200,Narrow-body Transport,GE,CFM56-5B4,2J,CAE,2007,CAE,Tropos 6000,3chCC,180x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.airfrance-flightacad.com,Martine Peyrot <mapeyrot@airfrance.fr>,+33 14 1751078,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
AFR01009,France,Europe,Air France,Paris-CDG,Airbus,A320,A320-200,Narrow-body Transport,GE,CFM56-5B4,2J,CAE,2016,CAE,Tropos 6000XR,3chCC,200x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.airfrance-flightacad.com,Martine Peyrot <mapeyrot@airfrance.fr>,+33 14 1751078,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
AFR01007,France,Europe,Air France,Paris-CDG,Airbus,A330/340,A330-200,Wide-body Transport,RR/GE,Trent772B/CF6-80E1A4,2J,CAE,2002,CAE,Tropos 6000,3chCC,180x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.airfrance-flightacad.com,Martine Peyrot <mapeyrot@airfrance.fr>,+33 14 1751078,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
AFR01008,France,Europe,Air France,Paris-CDG,Airbus,A330/340,A340-300,Wide-body Transport,GE,CFM56-5C2,4J,L3 CTS,1993,CAE,Tropos 6220,3chCC,180x40,L3 CTS,6H,L3 CTS,FFS D,EASA,Europe,,www.airfrance-flightacad.com,Martine Peyrot <mapeyrot@airfrance.fr>,+33 14 1751078,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
AFR02001,France,Europe,Air France,Paris-Orly,Boeing,B737NG,B737-800W,Narrow-body Transport,GE,CFM56-7B27,2J,CAE,2013,CAE,MaxVue+,3chCC,180x40,RC,6H,CAE,FFS D,EASA,Europe,,www.airfrance-flightacad.com,Martine Peyrot <mapeyrot@airfrance.fr>,+33 1 41751078,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ATC01001,France,Europe,Airbus Training Centre,Toulouse,Airbus,A300/310,A300-600/A310-304/A310-324,Wide-body Transport,GE/PW,CF6-80C2/CF6-80C2A2/PW4152/PW4158,2J,CAE,2010,CAE,Tropos 6000,3chCC,200x40,CAE,6H,CAE,FFS C,"DGACF
EASA",Europe/France,,www.airbus.com/support/training/, <media@airbus.com>,+33 5 61933333,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ATC01008,France,Europe,Airbus Training Centre,Toulouse,Airbus,A320,A320 Family,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2018,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.airbus.com/support/training/, <media@airbus.com>,+33 5 61933333,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ATC01004,France,Europe,Airbus Training Centre,Toulouse,Airbus,A330/340,A330-200/A340-300/A340-600,Wide-body Transport,PW/GE/RR,PW4168/CF6-80E1/CFM56-5C/Trent772B/Trent556,2J/4J,CAE,2006,CAE,Tropos 6000,3chCC,200x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.airbus.com/support/training/, <media@airbus.com>,+33 5 61933333,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ATC01006,France,Europe,Airbus Training Centre,Toulouse,Airbus,A350,A350-XWB,Wide-body Transport,RR,TrentXWB,2J,CAE,2014,CAE,Tropos 6000,3chCC,200x40,CAE,6E,CAE,FFS D,"EASA
DGACF
FAA",France/Europe/USA,,www.airbus.com/support/training/, <media@airbus.com>,+33 5 61933333,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ATC01005,France,Europe,Airbus Training Centre,Toulouse,Airbus,A380,A380-800,Jumbo Transport,RR/EA,Trent972/GP7270,4J,CAE,2007,CAE,Tropos 6000,3chCC,200x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.airbus.com/support/training/, <media@airbus.com>,+33 5 61933333,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ATR01007,France,Europe,ATR Training Centre,Toulouse-Blagnac,ATR,ATR42/72,ATR72-600,Regional Prop,PWC,PW127M,2P,CAE,2012,CAE,Tropos 6220,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.atr.fr,Renan Le-Mouel <renan.le-mouel@atr.fr>,+33 56 2216751,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ATR01006,France,Europe,ATR Training Centre,Toulouse-Blagnac,ATR,ATR42/72,ATR72-600,Regional Prop,PWC,PW127M,2P,CAE,2018,CAE,Tropos 6000,3chCC,200x40,CAE,6E,CAE,FFS D,"FAA
EASA",Europe/USA,,www.atr.fr,Renan Le-Mouel <renan.le-mouel@atr.fr>,+33 56 2216751,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
ICA01002,France,Europe,HOP Training by Icare,Morlaix,Bombardier,CRJ,CRJ100/CRJ200/CRJ700,Regional Jet,GE,CF34-3A1/CF34-3B1/CF34-8C1,2J,CAE,2001,CAE,MaxVue+,3chCC,180x40,CAE,6H,CAE,FFS D,"EASA
CAAC",China/Europe,,www.hoptraining.fr,Marc Borina <maborina@hop.fr>,+33 2 98881010 ,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
