SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
FSC03001,Germany,Europe,Flight Simulation Company,Monchengladbach,Airbus,A320,A320,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2007,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
GAC01001,Germany,Europe,German Aerospace Center (DLR),Braunschweig,Airbus,A320,A320,Narrow-body Transport,IAE,V2500,2J,Rheinmetall,2013,CAE,MaxVue+,14chDP,240x85,Rheinmetall,6E,Bosch Rexroth,,,'',,www.dlr.de, <media@dlr.de>,+49 2203 601 2116,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT02031,Germany,Europe,Lufthansa Aviation Training,Berlin-Schoenefeld,Airbus,A320,A320-212/A320-232,Narrow-body Transport,GE/IAE,CFM56-5A3/V2527-A5,2J,CAE,2008,CAE,Tropos 6400,3chCC,180x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT02069,Germany,Europe,Lufthansa Aviation Training,Berlin-Schoenefeld,Airbus,A330/340,A330-200E,Wide-body Transport,GE/RR/PW,CF6-80E1A3/Trent772B-60/PW4170,2J,CAE,2012,CAE,Tropos 6200,4chCC,210x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT02062,Germany,Europe,Lufthansa Aviation Training,Berlin-Schoenefeld,Boeing,B777,B777-200LR,Wide-body Transport,GE,GE90-110B1L,2J,CAE,2009,CAE,Tropos 6200,4chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT02028,Germany,Europe,Lufthansa Aviation Training,Berlin-Schoenefeld,Bombardier,CRJ,CRJ100,Regional Jet,GE,CF34-3A1,2J,CAE,1992,CAE,Tropos 6200,3chCC,150x40,Link UK,6H,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT02029,Germany,Europe,Lufthansa Aviation Training,Berlin-Schoenefeld,Bombardier,CRJ,CRJ900/CRJ100,Regional Jet,GE,CF34-8C5/CF34-3A1,2J,CAE,2006,CAE,Tropos 6200,3chCC,180x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT02039,Germany,Europe,Lufthansa Aviation Training,Berlin-Schoenefeld,Bombardier,CRJ,CRJ900/CRJ700,Regional Jet,GE,CF34-8C5/CF34-8C1,2J,CAE,2006,CAE,Tropos 6200,3chCC,180x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT05051,Germany,Europe,Lufthansa Aviation Training,Essen,Airbus,A320,A320-214/A320-232,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2008,CAE,Tropos 6400,3chCC,180x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT05055,Germany,Europe,Lufthansa Aviation Training,Essen,Airbus,A320,A320-214/A320-232,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2008,CAE,Tropos 6400,3chCC,180x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT01004,Germany,Europe,Lufthansa Aviation Training,Frankfurt,Airbus,A320,A320-214/A320-271N,Narrow-body Transport,GE/PW,CFM56-5B4/PW1127G-JM,2J,CAE,2017,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT01066,Germany,Europe,Lufthansa Aviation Training,Frankfurt,Airbus,A320,A320-232/A320-214,Narrow-body Transport,IAE/GE,V2527-A5/CFM56-5B4,2J,CAE,2011,CAE,Tropos 6400,3chCC,180x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT01071,Germany,Europe,Lufthansa Aviation Training,Frankfurt,Airbus,A320,A320-214,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2014,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LFT01003,Germany,Europe,Lufthansa Aviation Training,Frankfurt,Embraer,E170/190,E-190,Regional Jet,GE,CF34-10E6/CF34-10E5A1,2J,CAE,2013,CAE,Tropos 6200XR,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.lufthansa-aviation-training.com, <sales@lufthansa-flight-training.com>,+49 69 69672444,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
