SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
AIN02003,India,Asia,Air India,Hyderabad,Airbus,A320,A320,Narrow-body Transport,IAE,V2500-A1,2J,CAE,2012,CAE,Tropos 6000,3chCC,180x40,CAE,6E,CAE,FFS D,DGCA,India,,www.airindia.com,Kripeswara Thyagarajan <kripeswara.thyagarajan@airindia.in>,+91 22 26263337,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
AIN02004,India,Asia,Air India,Hyderabad,Airbus,A320,A320-200,Narrow-body Transport,IAE,V2527-A5,2J,CAE,2016,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,DGCA,India,,www.airindia.com,Kripeswara Thyagarajan <kripeswara.thyagarajan@airindia.in>,+91 22 26263337,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
AIN02005,India,Asia,Air India,Hyderabad,ATR,ATR42/72,ATR72-600,Regional Prop,PWC,PW127M,2P,CAE,2017,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,DGCA,India,,www.airindia.com,Kripeswara Thyagarajan <kripeswara.thyagarajan@airindia.in>,+91 22 26263337,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
AIN01002,India,Asia,Air India,Mumbai,Boeing,B747,B747-400,Jumbo Transport,PW,PW4056,4J,CAE,1994,CAE,Tropos 6000  ,3chCC,150x40,CAE,6H,CAE,FFS D,DGCA,India,,www.airindia.com,Kripeswara Thyagarajan <kripeswara.thyagarajan@airindia.in>,+91 40 27752354,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE40002,India,Asia,HATSOFF Training Centre (CAE/HAL),Bangalore,Airbus Helicopters,Dauphin,AS365 N3,VTOL,Turbomeca,Arriel 2C,R2,CAE,2011,CAE,Medallion 6000,8chCC+2chin,220x60,CAE,6HV,CAE,FFS D,"DGCA
EASA",Europe/India,,www.hatsoff-training.com, <prasad@hatsoff-training.com>,+91 80 2512 0100,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE40001,India,Asia,HATSOFF Training Centre (CAE/HAL),Bangalore,Bell Helicopter,Huey,Bell 412EP,VTOL,PWC,PT6T-3D,R2,CAE,2010,CAE,Medallion 6000,8chCC+2chin,220x60,CAE,6HV,CAE,FFS D,"DGCA
EASA",India/Europe,,www.hatsoff-training.com, <prasad@hatsoff-training.com>,+91 80 2512 0100,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE40003,India,Asia,HATSOFF Training Centre (CAE/HAL),Bangalore,HAL,DHRUV,DHRUV,VTOL,Turbomeca,TM 333-2B2,R2,CAE,2011,CAE,Medallion 6000,8chCC+2chin,220x60,CAE,6HV,CAE,FFS D,DGCA,India,,www.hatsoff-training.com, <prasad@hatsoff-training.com>,+91 80 2512 0100,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
JET02007,India,Asia,Jet Airways,Bangalore,Airbus,A330/340,A330/A340,Wide-body Transport,RR/GE/PW,Trent772B/CFM56-5C/CF6-80E1/PW4168A,2J/4J,CAE,2001,CAE,MaxVue+,3chCC,180x40,CAE,6H,CAE,FFS D,DGCA,India,,www.jetairways.com, <sdatta@jetairways.com>,+91 22 4019 1000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
JET02005,India,Asia,Jet Airways,Bangalore,Boeing,B737NG,B737NG,Narrow-body Transport,GE,CFM56-7B26,2J,CAE,2007,CAE,Tropos II,3chCC,200x40,CAE,6E,CAE,FFS D,DGCA,India,,www.jetairways.com, <sdatta@jetairways.com>,+91 22 4019 1000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
JET02006,India,Asia,Jet Airways,Bangalore,Boeing,B737NG,B737NG,Narrow-body Transport,GE,CFM56-7B26,2J,CAE,2007,CAE,Tropos II,3chCC,200x40,CAE,6E,CAE,FFS D,DGCA,India,,www.jetairways.com, <sdatta@jetairways.com>,+91 22 4019 1000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
JET02004,India,Asia,Jet Airways,Bangalore,Boeing,B777,B777,Wide-body Transport,GE,GE90-94B,2J,CAE,2007,CAE,Tropos II,3chCC,200x40,CAE,6E,CAE,FFS D,DGCA,India,,www.jetairways.com, <sdatta@jetairways.com>,+91 22 4019 1000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
