SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
GAR01004,Indonesia,Asia,Garuda Indonesia,Jakarta,Airbus,A320,A320-200,Narrow-body Transport,IAE/GE,V2527-A5/CFM56-5B4,2J,CAE,2013,CAE,Tropos 6200,3chCC,200x40,CAE,6E,CAE,FFS D,DGCAI,Indonesia,,www.training.garuda-indonesia.com,Novela Oksiyoeliantoro <novela@garuda-indonesia.com>,+62 21 2929 5626,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
GAR01001,Indonesia,Asia,Garuda Indonesia,Jakarta,Airbus,A330/340,A330-200,Wide-body Transport,RR,Trent772B,2J,CAE,2011,CAE,Tropos 6200,4chCC,210x40,CAE,6E,CAE,FFS D,DGCAI,Indonesia,,www.training.garuda-indonesia.com,Novela Oksiyoeliantoro <novela@garuda-indonesia.com>,+62 21 2929 5626,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
GAR01007,Indonesia,Asia,Garuda Indonesia,Jakarta,ATR,ATR42/72,ATR42-600/ATR72-600,Regional Prop,PWC,PW127M,2P,CAE,2015,CAE,Tropos 6000,3chCC,200x40,CAE,6E,CAE,FFS D,DGCAI,Indonesia,,www.training.garuda-indonesia.com,Novela Oksiyoeliantoro <novela@garuda-indonesia.com>,+62 21 2929 5626, <trainingsupport@l3t.com>,+44 1293 491 501
GAR01002,Indonesia,Asia,Garuda Indonesia,Jakarta,Boeing,B737C,B737-300/B737-400 ,Narrow-body Transport,GE,CFM56,2J,CAE,1996,CAE,MaxVue+,3chCC,150x40,CAE,6H,CAE,FFS D,DGCAI,Indonesia,,www.training.garuda-indonesia.com,Novela Oksiyoeliantoro <novela@garuda-indonesia.com>,+62 21 2929 5626,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
GAR01003,Indonesia,Asia,Garuda Indonesia,Jakarta,Boeing,B737NG,B737-800W,Narrow-body Transport,GE,CFM56-7B,2J,CAE,2011,CAE,Tropos 6000,4chCC,210x40,CAE,6E,CAE,FFS D,DGCAI,Indonesia,,www.training.garuda-indonesia.com,Novela Oksiyoeliantoro <novela@garuda-indonesia.com>,+62 21 2929 5626,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
GAR01005,Indonesia,Asia,Garuda Indonesia,Jakarta,Boeing,B737NG,B737-800W,Narrow-body Transport,GE,CFM56-7B,2J,CAE,2013,CAE,Tropos 6200,3chCC,200x40,CAE,6E,CAE,FFS D,DGCAI,Indonesia,,www.training.garuda-indonesia.com,Novela Oksiyoeliantoro <novela@garuda-indonesia.com>,+62 21 2929 5626, <trainingsupport@l3t.com>,+44 1293 491 501
GAR01006,Indonesia,Asia,Garuda Indonesia,Jakarta,Bombardier,CRJ,CRJ1000,Regional Jet,GE,CF34-8C5A1,2J,CAE,2013,CAE,Tropos 6200,3chCC,200x40,CAE,6E,CAE,FFS D,DGCAI,Indonesia,,www.training.garuda-indonesia.com,Novela Oksiyoeliantoro <novela@garuda-indonesia.com>,+62 21 2929 5626,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
JAK01003,Indonesia,Asia,Jakarta Aviation Training Center,Jakarta,Airbus,A320,A320-200,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2017,CAE,Tropos 6200,3chCC,200x40,CAE,6E,CAE,FFS D,DGCAI,Indonesia,,www.jatc.aero, <info@jatc.aero>,+62 21 55910065,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LIO01010,Indonesia,Asia,Lion Air Training Centre,Jakarta-Soekarno,Airbus,A320,A320-200,Narrow-body Transport,GE,CFM56-5B4,2J,CAE,2014,CAE,Tropos 6000,3chCC,200x40,CAE,6E,CAE,FFS D,DGCAI,Indonesia,,www.lionair.co.id, <marketing@lionair.co.id>,+63 2 852 2963,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
LIO01012,Indonesia,Asia,Lion Air Training Centre,Jakarta-Soekarno,Airbus,A320,A320-200,Narrow-body Transport,GE,CFM56-5B4,2J,CAE,2014,CAE,Tropos 6000,3chCC,200x40,CAE,6E,CAE,FFS D,DGCAI,Indonesia,,www.lionair.co.id, <marketing@lionair.co.id>,+63 2 852 2963,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
