SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
FSC01001,Netherlands,Europe,Flight Simulation Company,Amsterdam,Airbus,A320,A320,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2007,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
FSC01002,Netherlands,Europe,Flight Simulation Company,Amsterdam,Airbus,A320,A320,Narrow-body Transport,IAE/GE,V2527-A5/CFM56-5B4,2J,CAE,2007,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
FSC01012,Netherlands,Europe,Flight Simulation Company,Amsterdam,Airbus,A320,A320neo/A320-232,Narrow-body Transport,GE/IAE/PW,Leap-1A/V2527-A5/CFM56-5B4/PW1127G,2J,CAE,2018,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
FSC01005,Netherlands,Europe,Flight Simulation Company,Amsterdam,Boeing,B737NG,B737-800,Narrow-body Transport,GE,CFM56,2J,CAE,2006,CAE,Tropos Enh 2,3chCC,200x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
FSC01006,Netherlands,Europe,Flight Simulation Company,Amsterdam,Boeing,B737NG,B737-800,Narrow-body Transport,GE,CFM56,2J,CAE,2006,CAE,Tropos Enh 2,3chCC,200x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
FSC01007,Netherlands,Europe,Flight Simulation Company,Amsterdam,Boeing,B737NG,B737-800,Narrow-body Transport,GE,CFM56,2J,CAE,2007,CAE,Tropos Enh 2,3chCC,200x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
FSC01008,Netherlands,Europe,Flight Simulation Company,Amsterdam,Boeing,B737NG,B737-800,Narrow-body Transport,GE,CFM56,2J,CAE,2007,CAE,Tropos Enh 2,3chCC,200x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
FSC01013,Netherlands,Europe,Flight Simulation Company,Amsterdam,Boeing,B747,B747-400,Jumbo Transport,GE,CF6-80C2,4J,CAE,1991,CAE,Tropos 6220,3chCC,150x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
FSC01009,Netherlands,Europe,Flight Simulation Company,Amsterdam,Boeing,B757/767,B767-300ER,Wide-body Transport,PW/GE,PW4056/CF6-80C2,2J,CAE,2007,CAE,Tropos 6000XR,3chCC,180x40,CAE,6E,Moog,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
FSC01011,Netherlands,Europe,Flight Simulation Company,Amsterdam,Embraer,E170/190,E-170/E-190,Regional Jet,GE,CF34-8E5/CF34-10E6,2J,CAE,2009,CAE,Tropos 6000,3chCC,200x43,CAE,6E,CAE,FFS D,EASA,Europe,,www.fsctraining.com, <info@fsctraining.com>,+31 20 3043200,,
KLM01003,Netherlands,Europe,KLM Flight Crew Training,Amsterdam,Boeing,B737NG,B737-800,Narrow-body Transport,GE,CFM56-7B26/CFM56-7B27/CFM56-7B24,2J,CAE,1998,CAE,MaxVue Plus,3chCC,180x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.klmflightcrewtraining.com, <flightcrewtrainingsales@klm.com>,+31 20 649 1894,,
KLM01004,Netherlands,Europe,KLM Flight Crew Training,Amsterdam,Boeing,B737NG,B737-800,Narrow-body Transport,GE,CFM56-7B24,2J,CAE,2008,CAE,Tropos 6200,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.klmflightcrewtraining.com, <flightcrewtrainingsales@klm.com>,+31 20 649 1894,,
KLM01005,Netherlands,Europe,KLM Flight Crew Training,Amsterdam,Boeing,B747,B747-400,Jumbo Transport,GE,CF6-80C2,4J,CAE,1988,CAE,Tropos 6220,3chCC,200x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.klmflightcrewtraining.com, <flightcrewtrainingsales@klm.com>,+31 20 649 1894,,
