SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
ASI01005,South Korea,Asia,Asiana Airlines Training Centre,Seoul,Airbus,A320,A320-200,Narrow-body Transport,IAE/GE,V2527-A5/CFM56-5B4,2J,CAE,2001,CAE,Tropos 6000XR,3chCC,200x40,CAE,6H,CAE,FFS D,KOCA,South Korea,,www.flyasiana.com, <simservice@flyasiana.com>,+82 2 2669 5553,,
ASI01006,South Korea,Asia,Asiana Airlines Training Centre,Seoul,Airbus,A350,A350-XWB,Wide-body Transport,RR,TrentXWB,2J,CAE,2017,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,KOCA,South Korea,,www.flyasiana.com, <simservice@flyasiana.com>,+82 2 2669 5553,,
ASI01002,South Korea,Asia,Asiana Airlines Training Centre,Seoul,Boeing,B747,B747-400,Jumbo Transport,GE,CF6-80C2,4J,CAE,1994,CAE,Tropos 6220,3ch/4w,150x40,CAE,6H,CAE,FFS D,"KOCA
CAAC",South Korea/China,,www.flyasiana.com, <simservice@flyasiana.com>,+82 2 2669 5553,,
ASI01003,South Korea,Asia,Asiana Airlines Training Centre,Seoul,Boeing,B757/767,B767-300ER,Wide-body Transport,GE,CF6-80C2B4,2J,CAE,1995,CAE,MaxVue 2000,3ch/4w,150x40,CAE,6H,CAE,FFS D,"KOCA
JCAB",Japan/South Korea,,www.flyasiana.com, <simservice@flyasiana.com>,+82 2 2669 5553,,
CAE54001,South Korea,Asia,KAC Aviation Training Centre,Seoul,Cessna,CitationJet,Citation M2,Business,Williams,FJ44-1AP-21,2J,CAE,2017,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,KOCA,South Korea,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
KOR01005,South Korea,Asia,Korean Air,Seoul-Incheon,Boeing,B737NG,B737-900,Narrow-body Transport,GE,CFM56-7B24,2J,CAE,2003,CAE,Tropos R6000,3chCC,180x40,CAE,6H,CAE,FFS D,KOCA,South Korea,,www.koreanair.com, <kimsmo@koreanair.com>,+82 32 884 9432,,
KOR01003,South Korea,Asia,Korean Air,Seoul-Incheon,Boeing,B777,B777-200,Wide-body Transport,PW,PW4090,2J,CAE,1997,CAE,MaxVue Enh A+,3chCC,180x40,CAE,6H,CAE,FFS D,KOCA,South Korea,,www.koreanair.com, <kimsmo@koreanair.com>,+82 32 884 9432,,
KOR02002,South Korea,Asia,Korean Air,Seoul-Jeju,Cessna,CitationJet,Citation CJ1+,Business,Williams,FJ44,2J,CAE,2010,CAE,Tropos R6000,3chCC,200x40,CAE,6E,CAE,FFS D,KOCA,South Korea,,www.koreanair.com, <kimsmo@koreanair.com>,+82 32 884 9432,,
KOR01009,South Korea,Asia,Korean Air,Seoul-Incheon,Boeing,B787,B787-9,Wide-body Transport,GE,GEnx,2J,CAE,2018,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,KOCA,South Korea,,www.koreanair.com, <kimsmo@koreanair.com>,+82 32 884 9432,,
KOR01010,South Korea,Asia,Korean Air,Seoul-Incheon,Bombardier,CSeries,CS300,Narrow-body Transport,PW,PW1525G,2J,CAE,2018,CAE,Tropos 6200XR,3chCC,200x40,CAE,6E,Moog,FFS D,KOCA,South Korea,,www.koreanair.com, <kimsmo@koreanair.com>,+82 32 884 9432,,
