SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
ATC02012,USA,North America,Airbus Americas Customer Services,"Miami, FL",Airbus,A320,A320-200,Narrow-body Transport,IAE/GE,V2527-A5/CFM56-5B4,2J,CAE,2000,CAE,Tropos 6022XR,3chCC,200x40,CAE,6E,Moog AMS,FFS D,"FAA
ANAC",USA/Brazil,,www.airbusnorthamerica.com, <media@airbus.com>,+1 305 8713655,,
ATC02011,USA,North America,Airbus Americas Customer Services,"Miami, FL",Airbus,A330/340,A340-300/A330-200/A340-600,Wide-body Transport,GE/RR/PW,CFM56-5C/Trent772B/CF6-80E1/Trent 556-61/PW4168,2J/4J,CAE,2006,CAE,Tropos 6000,3chCC,200x40,CAE,6H,CAE,FFS D,"FAA
EASA",Europe/USA,,www.airbusnorthamerica.com, <media@airbus.com>,+1 305 8713655,,
ALL01001,USA,North America,Alliance Aviation,"Tampa, FL",ATR,ATR42/72,ATR72-500/ATR42-500,Regional Prop,PWC,PW127F,2P,CAE,2008,CAE,MaxVue,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.allianceaviationinc.com, <info@allianceaviationinc.com>,+1 305 870 6002,,
AMR03001,USA,North America,American Airlines,"Charlotte, NC",Airbus,A320,A320-200,Narrow-body Transport,GE,CFM56-5B4,2J,CAE,1999,CAE,MaxVue+,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.aa.com,Howard Garbee <howard.garbee@aa.com>,+1 704 3592770,,
AMR03002,USA,North America,American Airlines,"Charlotte, NC",Airbus,A320,A320-200,Narrow-body Transport,GE,CFM56-5B4,2J,CAE,1999,CAE,MaxVue+,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.aa.com,Howard Garbee <howard.garbee@aa.com>,+1 704 3592770,,
AMR03003,USA,North America,American Airlines,"Charlotte, NC",Airbus,A320,A320-200,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2012,CAE,Tropos 6220,4chCC,210x40,CAE,6E,Moog,FFS D,FAA,USA,,www.aa.com,Howard Garbee <howard.garbee@aa.com>,+1 704 3592770,,
AMR03014,USA,North America,American Airlines,"Charlotte, NC",Airbus,A320,A320-200,Narrow-body Transport,IAE/GE,V2527-A5/CFM56-5B4,2J,CAE,2011,CAE,Tropos 6220,4chCC,210x40,CAE,6E,Moog,FFS D,FAA,USA,,www.aa.com,Howard Garbee <howard.garbee@aa.com>,+1 704 3592770,,
AMR03004,USA,North America,American Airlines,"Charlotte, NC",Airbus,A330/340,A330-243,Wide-body Transport,RR,Trent772B-60 ,2J,CAE,1999,CAE,Tropos 6220,3chCC,180x40,CAE,6E,Moog,FFS D,FAA,USA,,www.aa.com,Howard Garbee <howard.garbee@aa.com>,+1 704 3592770,,
AMR03005,USA,North America,American Airlines,"Charlotte, NC",Airbus,A330/340,A330-323,Wide-body Transport,PW,PW4168A,2J,CAE,2009,CAE,Maxvue+,4chCC,210x40,CAE,6H,Moog,FFS D,FAA,USA,,www.aa.com,Howard Garbee <howard.garbee@aa.com>,+1 704 3592770,,
AMR03008,USA,North America,American Airlines,"Charlotte, NC",Boeing,B757/767,B757-200,Wide-body Transport,RR,RB211-534,2J,CAE,2013,CAE,Tropos 6000,4ch/4w,150x40,CAE,6H,CAE,FFS C,FAA,USA,,www.aa.com,Howard Garbee <howard.garbee@aa.com>,+1 704 3592770,,
