SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
CAE47014,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Beechcraft,Hawker800,Hawker 800XP,Business,Honeywell,TFE731-5BR-1H,2J,CAE,2009,CAE,Tropos 6000,3chCC,180x43,CAE,6E,CAE,FFS D,GCAA,UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47015,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Beechcraft,Hawker800,Hawker 800XP,Business,Honeywell,TFE731-5BR-1H,2J,CAE,2003,CAE,Maxvue+,3chCC,180x40,CAE,6H,CAE,FFS D,"GCAA
EASA",Europe/UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47003,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Bell Helicopter,Huey,Bell 212/Bell 412,VTOL,PWC,PT6T-3B/PT6T-3BE,R2,CAE,2005,CAE,Tropos,3chCC,180x40,CAE,6H,CAE,FFS D,GCAA,UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47004,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Boeing,B737NG,B737NG,Narrow-body Transport,GE,CFM56-7B26,2J,CAE,2001,CAE,Tropos R300,3chCC,180x40,CAE,6H,CAE,FFS D,"GCAA
EASA",Europe/UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47008,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Bombardier,Challenger600,Challenger 604/Challenger 605,Business,GE,CF34-3B1,2J,CAE,2013,CAE,Tropos 6200,4chCC,200x40,CAE,6E,CAE,FFS D,GCAA,UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47009,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Bombardier,Global,Global Express 5000/Global Express 6000,Business,RR,BR710A2-20,2J,CAE,2009,CAE,Tropos 6000,4chCC,200x43,CAE,6H,CAE,FFS D,"EASA
GCAA",UAE/Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47019,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Bombardier,Global,Global Vision 5000/Global Vision 6000,Business,RR,BR710A2-20,2J,CAE,2014,CAE,Tropos 6200,3chCC,200x40,CAE,6E,CAE,FFS D,GCAA,UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47010,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Dassault,Falcon7X,Falcon 7X,Business,PWC,PW307A,2J,CAE,2011,CAE,Tropos-6200,3chCC,180x40,CAE,6E,CAE,FFS D,GCAA,UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47011,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Dassault,FalconEAsy,Falcon 900EX EASy/Falcon 2000EX EASy,Business,Honeywell/PWC,TFE731-60/PW308C,2J/3J,CAE,2011,CAE,Tropos 6200,3chCC,180x40,CAE,6E,CAE,FFS D,GCAA,UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47013,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Gulfstream,GulfstreamPV,G350/G450/G500/G550,Business,RR,Tay MK 611-8C/BR710A1-10,2J,CAE,2003,CAE,Tropos,3chCC,180x40,CAE,6H,CAE,FFS D,GCAA,UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47017,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Gulfstream,GulfstreamPV,G650,Business,RR,BR725,2J,CAE,2015,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,GCAA,UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE47012,UAE,Middle East,CAE Dubai Al Garhoud-Emirates-CAE Training Center,Dubai,Gulfstream,GulfstreamSPZ,G-IV,Business,RR,Tay MK 611-8,2J,CAE,2003,CAE,Tropos,3chCC,180x40,CAE,6H,CAE,FFS D,GCAA,UAE,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
