SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
CAE37002,USA,North America,CAE Charlotte at US Airways Training Centre,"Charlotte, NC",Bombardier,CRJ,CRJ700/CRJ900,Regional Jet,GE,CF34-8C1/CF34-8C5,2J,CAE,2002,CAE,Maxvue+,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE37004,USA,North America,CAE Charlotte at US Airways Training Centre,"Charlotte, NC",Bombardier,CRJ,CRJ700/CRJ900,Regional Jet,GE,CF34-8C1/CF34-8C5,2J,CAE,2001,CAE,Maxvue+,3chCC,180x40,CAE,6H,CAE,FFS D,"FAA
TC",Canada/USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE49003,USA,North America,CAE Dallas East Training Centre,"Dallas-Fort Worth, TX",Boeing,B737NG,B737NG,Narrow-body Transport,GE,CFM56-7B27,2J,CAE,2002,CAE,Maxvue+,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE49002,USA,North America,CAE Dallas East Training Centre,"Dallas-Fort Worth, TX",Bombardier,Lear40/45,Learjet 45,Business,Honeywell,TFE731-2-2B,2J,CAE,2001,CAE,Maxvue+,3chCC,150x40,CAE,6H,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE49001,USA,North America,CAE Dallas East Training Centre,"Dallas-Fort Worth, TX",Bombardier,Lear50,Learjet 55,Business,Honeywell,TFE731-3A-2B,2J,CAE,1984,CAE,Maxvue+,3chCC,180x40,CAE,6H,Singer-Link,FFS C,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE49008,USA,North America,CAE Dallas East Training Centre,"Dallas-Fort Worth, TX",Dassault,FalconEAsy,Falcon 900EX EASy/Falcon 2000EX EASy,Business,Honeywell/PWC,TFE731-60/PW308C,2J/3J,CAE,2015,CAE,Tropos 6200,3chCC,200x40,CAE,6E,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE49004,USA,North America,CAE Dallas East Training Centre,"Dallas-Fort Worth, TX",Embraer,Emb145,ERJ-135/ERJ-145,Regional Jet,RR,AE3007-A1,2J,CAE,2003,CAE,Maxvue+,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE49006,USA,North America,CAE Dallas East Training Centre,"Dallas-Fort Worth, TX",Embraer,Phenom,Phenom 100/Phenom 300,Business,PWC,PW617F-E/PW535E,2J,CAE,2009,CAE,Tropos 6000,3chCC,180x40,CAE,6E,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE18029,USA,North America,CAE Dallas West Training Centre,"Dallas-Fort Worth, TX",Beechcraft,Hawker400,Hawker 400XP,Business,PW,JT15D-5,2J,RC,2001,CAE,Tropos 6000,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE18030,USA,North America,CAE Dallas West Training Centre,"Dallas-Fort Worth, TX",Beechcraft,Hawker600,Hawker 700/Hawker 600,Business,Honeywell,TFE731-3RH/TFE731-3R-1H,2J,CAE,1985,CAE,Maxvue+,3chCC,180x40,CAE,6H,Singer-Link,FFS C,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
