SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
CAE51001,Brazil,South America,CAE Lider Training do Brasil LTDA Training Centre,Sao Paulo-Congonhas,Leonardo Helicopters,AW139,AW139,VTOL,PWC,PT6C-67C,R2,CAE,2017,CAE,Tropos 6000,3chCC,180x40,CAE,6E,CAE,FFS D,"ANAC
FAA",USA/Brazil,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE51003,Brazil,South America,CAE Lider Training do Brasil LTDA Training Centre,Sao Paulo-Congonhas,Sikorsky,S76,S-76C+/S-76C++,VTOL,Turbomeca,Arriel 2S1/Arriel 2S2,R2,CAE,2012,CAE,Tropos 6200,3chCC,200x40,CAE,6EV,CAE,FFS D,ANAC,Brazil,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE51002,Brazil,South America,CAE Lider Training do Brasil LTDA Training Centre,Sao Paulo-Congonhas,Sikorsky,S92,S-92,VTOL,GE,CT7-8A,R2,CAE,2014,CAE,Tropos 6000,5chCC,210x80,CAE,6EV,CAE,FFS D,ANAC,Brazil,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE05002,Brazil,South America,CAE Sao Paulo Congonhas Training Centre,Sao Paulo-Congonhas,Airbus,A350,A350-XWB,Wide-body Transport,RR,TrentXWB-84,2J,CAE,2016,CAE,Tropos 6200XR,3chCC,200x40,CAE,6E,CAE,FFS D,ANAC,Brazil,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE32002,Brazil,South America,CAE Sao Paulo Guarulhos Training Centre,Sao Paulo-Guarulhos,Airbus,A320,A320 Family,Narrow-body Transport,GE,CFM56-5A,2J,CAE,1999,CAE,Tropos 6200,3chCC,180x40,CAE,6H,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE32004,Brazil,South America,CAE Sao Paulo Guarulhos Training Centre,Sao Paulo-Guarulhos,Airbus,A320,A320 Family,Narrow-body Transport,IAE,V2527-A5,2J,CAE,2008,CAE,Tropos 6000,3chCC,180x40,CAE,6E,CAE,FFS D,ANAC,Brazil,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE32005,Brazil,South America,CAE Sao Paulo Guarulhos Training Centre,Sao Paulo-Guarulhos,Airbus,A330/340,A330/A340,Wide-body Transport,RR/GE/PW,Trent772B/CFM56-5C/CF6-80E1/PW4000,2J/4J,CAE,2001,CAE,Maxvue+,3chCC,180 x40,CAE,6H,CAE,FFS D,ANAC,Brazil,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE32006,Brazil,South America,CAE Sao Paulo Guarulhos Training Centre,Sao Paulo-Guarulhos,Airbus,A330/340,A330/A340,Wide-body Transport,PW/RR/GE,PW4168A/Trent772B/CFM56-5C/CF6-80E1,2J/4J,CAE,2005,CAE,Maxvue+,3chCC,180 x40,CAE,6H,CAE,FFS D,ANAC,Brazil,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE32001,Brazil,South America,CAE Sao Paulo Guarulhos Training Centre,Sao Paulo-Guarulhos,Boeing,B757/767,B767-300,Wide-body Transport,RR/PW,RB211-524H/PW4052,2J,CAE,2002,CAE,Maxvue+,3chCC,180x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE32013,Brazil,South America,CAE Sao Paulo Guarulhos Training Centre,Sao Paulo-Guarulhos,Embraer,Phenom,Phenom 100/Phenom 300,Business,PWC,PW617F-E/PW535E,2J,CAE,2012,CAE,Tropos 6000,3chCC,200x40,CAE,6E,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
CAE32003,Brazil,South America,CAE Sao Paulo Guarulhos Training Centre,Sao Paulo-Guarulhos,Airbus,A320,A320 Family,Narrow-body Transport,IAE,V2527-A5,2J,CAE,2012,CAE,Tropos 6200,3chCC,200x40,CAE,6E,CAE,FFS D,ANAC,Brazil,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,Cristina Murasan <cristina.murasan@cae.com>,+1 972 456 8000
