SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
CAE07012,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Airbus,A320,A320 Family,Narrow-body Transport,GE/IAE,CFM56-5B4/V2527-A5,2J,CAE,2018,CAE,Tropos 6000,3chCC,200x40,CAE,6E,CAE,FFS D,"EASA
FAA",Europe/USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07001,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,ATR,ATR42/72,ATR42-500/ATR72-500,Regional Prop,PWC,PW127F,2P,CAE,2003,CAE,MaxVue,3chCC,180x40,CAE,6H,CAE,FFS C,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07002,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Boeing,B737NG,B737NG,Narrow-body Transport,GE,CFM56-7B26,2J,CAE,2000,CAE,Tropos R300,3chCC,180x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07003,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Bombardier,Challenger300,Challenger 300/CL-350,Business,Honeywell,HTF7000/HTF7350,2J,CAE,2010,CAE,Tropos 6000,3chCC,180x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07004,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Bombardier,Challenger600,Challenger 604/Challenger 605,Business,GE,CF34-34,2J,CAE,1996,CAE,MaxVue+,3chCC,150x40,CAE,6H,CAE,FFS D,FAA,USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07008,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Bombardier,Global,Global Express 5000/Global Express 6000,Business,RR,BR710A2-20,2J,CAE,2014,CAE,Tropos 6220,3chCC,200x40,CAE,6E,CAE,FFS D,"FAA
TC",Canada/USA,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07013,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Bombardier,Global,Global Express 5000/Global Express 6000,Business,RR,BR710A2-20,2J,CAE,2018,CAE,Tropos 6000,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07005,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Embraer,E170/190,E-170/E-190,Regional Jet,GE,CF34-8E5/CF34-10E6,2J,CAE,2017,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07011,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Embraer,E170/190,E-190/E-170,Regional Jet,GE,CF34-10E6/CF34-8E5,2J,CAE,2011,CAE,Tropos 6000,3chCC,200x40,CAE,6E,CAE,FFS D,EASA,Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07014,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Embraer,Phenom,Phenom 100/Phenom 300,Business,PWC,PW617F-E/PW535E,2J,CAE,2017,CAE,Tropos 6000XR,3chCC,200x40,CAE,6E,CAE,FFS D,"FAA
EASA",USA/Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07007,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Fokker,F27/50,F-50,Regional Prop,PWC,PW125B,2P,CAE,1991,CAE,Tropos 6200,3chCC,150x40,CAE,6H,CAE,FFS C,EASA,Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
CAE07006,Netherlands,Europe,CAE Amsterdam Training Centre,Amsterdam,Fokker,F70/100,F-70/F-100,Regional Jet,RR,Tay 620-15/Tay 650-15,2J,CAE,2001,CAE,MaxVue+,3chCC,180x40,CAE,6H,CAE,FFS D,EASA,Europe,,www.cae.com/civil-aviation,Cristina Murasan <cristina.murasan@cae.com>,+1 972 4568000,,
