SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
FSI06010,UK,Europe,FSI Farnborough Learning Center,Farnborough,Beechcraft,Hawker400,Hawker 400XP,Business,PW,JT15D-5,2J,FSI,2006,FSI,Vital 9,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"FAA
EASA
GACA
MDGAC",Europe/USA/Saudi Arabia,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06011,UK,Europe,FSI Farnborough Learning Center,Farnborough,Beechcraft,Hawker800,Hawker 750,Business,Honeywell,TFE731-5BR-1H,2J,FSI,2009,FSI,Vital 9,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"EASA
MDGAC
GACA
FAA",Saudi Arabia/Mexico/Europe,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06012,UK,Europe,FSI Farnborough Learning Center,Farnborough,Beechcraft,Hawker800,Hawker 850XP,Business,Honeywell,TFE731-5BR,2J,FSI,2007,FSI,Vital 9,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"EASA
FAA
GACA",USA/Europe/Saudi Arabia,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06001,UK,Europe,FSI Farnborough Learning Center,Farnborough,Beechcraft,KA200,KA200 4-blade/KA200 3-blade,Regional Prop,PWC,PT6A-42,2P,FSI,2005,FSI,Vital 9,3chCC,180x40,FSI,6H,FSI,FFS D,"FAA
EASA
GACA",Saudi Arabia/USA/Europe,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06002,UK,Europe,FSI Farnborough Learning Center,Farnborough,Bombardier,Q400,Dash 8 Q400,Regional Prop,PWC,PW150A,2P,FSI,2007,FSI,Vital 9,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"EASA
FAA",Europe/USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06003,UK,Europe,FSI Farnborough Learning Center,Farnborough,Cessna,CitationII/V,Citation Bravo,Business,PWC,PW530A,2J,FSI,2005,FSI,Vital 9,3chCC,180x40,FSI,6H,FSI,FFS D,"EASA
FAA
GACA
MDGAC",Saudi Arabia/Europe/USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06004,UK,Europe,FSI Farnborough Learning Center,Farnborough,Cessna,CitationJet,Citation CJ2,Business,Williams,FJ44-2C,2J,FSI,2006,FSI,Vital 9,3chCC,180x40,FSI,6H,FSI,FFS D,"EASA
MDGAC
GACA",Saudi Arabia/Europe/Mexico,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06008,UK,Europe,FSI Farnborough Learning Center,Farnborough,Cessna,CitationS,Citation Sovereign,Business,PWC,PW306C,2J,FSI,2009,FSI,Vital X,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"FAA
EASA
MDGAC
GACA",Mexico/Europe/USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06005,UK,Europe,FSI Farnborough Learning Center,Farnborough,Cessna,CitationXL,Citation Excel,Business,PWC,PW545A,2J,FSI,2006,FSI,Vital 9,3chCC,180x40,FSI,6H,FSI,FFS D,"FAA
EASA
GACA
MDGAC",Europe/USA/Saudi Arabia,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06006,UK,Europe,FSI Farnborough Learning Center,Farnborough,Cessna,Mustang,Citation Mustang,Business,PWC,PW615F,2J,FSI,2008,FSI,Vital 9,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"FAA
EASA
GACA
MDGAC",Europe/USA/Saudi Arabia,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06009,UK,Europe,FSI Farnborough Learning Center,Farnborough,Gulfstream,GulfstreamPV,G450/G550,Business,RR,Tay MK 611-8C/BR710C4-11,2J,FSI,2009,FSI,Vital 1100,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"EASA
FAA
GACA
MDGAC",Europe/USA/Saudi Arabia,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06014,UK,Europe,FSI Farnborough Learning Center,Farnborough,Gulfstream,GulfstreamPV,G650,Business,RR,BR725A1-12,2J,FSI,2017,FSI,Vital 1100,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"FAA
EASA",USA/Europe,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI06013,UK,Europe,FSI Farnborough Learning Center,Farnborough,Sikorsky,S92,S-92,VTOL,GE,CT7-8A,R2,FSI,2007,FSI,Vital X,5chCC,200x60,FSI,6E,FSI/Moog,FFS D,"EASA
ANAC
MDGAC
FAA",Brazil/Europe/Mexico,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
