SimX,Country,Region,TrainingOrganization,SiteLocation,ACMaker,ACFamily,ACTypes,ACSector,EngMakers,EngTypes,Cat,SimMaker,Date,IGMaker,IGModel,Windows,FOV,DisMaker,MotionType,MotionMaker,Level,RegLocation,Remarks,Web,Email,Tel,SWeb,SEmail,STel
FSI01001,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Beechcraft,KA200,KA200 4-blade/KA200 3-blade/KA200 Raisbeck,Regional Prop,PWC,PT6A-42,2P,FSI,2002,FSI,Vital 9,3chCC,180x40,FSI,6H,FSI,FFS D,"FAA
TC
MDGAC
CAAC
ANAC",USA/Mexico/Canada,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI01002,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Beechcraft,KA300,KA350,Regional Prop,PWC,PT6A-60A  ,2P,FSI,1993,FSI,Vital 4,3ch/4w,150x40,FSI,6H,FSI,FFS C,"FAA
TC
MDGAC
ANAC",Mexico/USA/Canada,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI01003,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Beechcraft,KA300,KA350,Regional Prop,PWC,PT6A-60A  ,2P,FSI,2008,FSI,Vital 9,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"FAA
TC
MDGAC
ANAC",Canada/Mexico/USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI01017,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Beechcraft,KA300,KA350,Regional Prop,PWC,PT6A-60A,2P,FSI,2016,FSI,Vital 1100,3chCC,180x40,FSI,6E,FSI/Moog,FFS D,"FAA
TC
EASA",Canada/Europe/USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI01004,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Bombardier,CRJ,CRJ,Regional Jet,GE,CF34-3A1,2J,FSI,2000,FSI,Vital 8+,3chCC,180x40,FSI,6H,FSI,FFS D,"FAA
MDGAC",Mexico/USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI01005,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Bombardier,CRJ,CRJ,Regional Jet,GE,CF34-3A1,2J,FSI,2000,FSI,Vital 8+,3chCC,180x40,FSI,6H,FSI,FFS D,"FAA
MDGAC",Mexico/USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI01006,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Bombardier,CRJ,CRJ,Regional Jet,GE,CF34-3B1,2J,FSI,2001,FSI,Vital 8+,3chCC,180x40,FSI,6H,FSI,FFS D,"FAA
MDGAC",Mexico/USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI01007,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Bombardier,CRJ,CRJ700,Regional Jet,GE,CF34-8C5,2J,FSI,2014,FSI,Vital 1100,3chCC,180x40,FSI,6H,FSI,FFS D,FAA,USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI01009,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Bombardier,Dash8,Dash 8-100/Dash 8-300/Dash 8-200,Regional Prop,PWC,PW120A/PW123/PW121,2P,FSI,2001,FSI,Vital 8,3chCC,180x40,FSI,6H,FSI,FFS C,"FAA
TC
UKCAA
MDGAC",UK/Canada/USA,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
FSI01010,USA,North America,FSI Atlanta Learning Center,"Atlanta, GA",Bombardier,Lear31,Learjet 31A,Business,Honeywell,TFE731-2-3B,2J,FSI,2002,FSI,Vital 8+,3chCC,180x40,FSI,6H,FSI,FFS D,"FAA
ANAC
UKCAA
MDGAC",USA/Brazil/UK,,www.flightsafety.com/fs_location_global.php,John Slish <john.slish@flightsafety.com>,+1 514 6312084,,
